exchange_id,name,unit,value,type,date
318,United Arab Emirates Dirham,DH,62909.402,fiat,2022-12-09 22:29:22.615398
319,Argentine Peso,$,2907954.153,fiat,2022-12-09 22:29:22.703508
320,Australian Dollar,A$,25202.366,fiat,2022-12-09 22:29:22.794611
321,Bangladeshi Taka,৳,1769887.49,fiat,2022-12-09 22:29:22.882489
322,Bahraini Dinar,BD,6452.178,fiat,2022-12-09 22:29:22.970548
323,Bermudian Dollar,$,17127.525,fiat,2022-12-09 22:29:23.058336
324,Brazil Real,R$,89758.511,fiat,2022-12-09 22:29:23.146314
325,Canadian Dollar,CA$,23453.354,fiat,2022-12-09 22:29:23.234275
326,Swiss Franc,Fr.,16014.236,fiat,2022-12-09 22:29:23.322119
327,Chilean Peso,CLP$,14763927.259,fiat,2022-12-09 22:29:23.409663
328,Chinese Yuan,¥,119169.899,fiat,2022-12-09 22:29:23.497312
329,Czech Koruna,Kč,394654.162,fiat,2022-12-09 22:29:23.584838
330,Danish Krone,kr.,120956.3,fiat,2022-12-09 22:29:23.672211
331,Euro,€,16243.094,fiat,2022-12-09 22:29:23.759643
332,British Pound Sterling,£,13971.385,fiat,2022-12-09 22:29:23.847720
333,Hong Kong Dollar,HK$,133354.059,fiat,2022-12-09 22:29:23.935082
334,Hungarian Forint,Ft,6807249.5,fiat,2022-12-09 22:29:24.022974
335,Indonesian Rupiah,Rp,267249349.176,fiat,2022-12-09 22:29:24.110545
336,Israeli New Shekel,₪,58559.867,fiat,2022-12-09 22:29:24.198647
337,Indian Rupee,₹,1411994.941,fiat,2022-12-09 22:29:24.286387
338,Japanese Yen,¥,2339020.698,fiat,2022-12-09 22:29:24.373995
339,South Korean Won,₩,22338918.104,fiat,2022-12-09 22:29:24.460855
340,Kuwaiti Dinar,KD,5254.399,fiat,2022-12-09 22:29:24.554551
341,Sri Lankan Rupee,Rs,6293506.486,fiat,2022-12-09 22:29:24.642179
342,Burmese Kyat,K,35962973.272,fiat,2022-12-09 22:29:24.729194
343,Mexican Peso,MX$,338729.365,fiat,2022-12-09 22:29:24.816521
344,Malaysian Ringgit,RM,75421.059,fiat,2022-12-09 22:29:24.903207
345,Nigerian Naira,₦,7621235.165,fiat,2022-12-09 22:29:24.989328
346,Norwegian Krone,kr,171531.828,fiat,2022-12-09 22:29:25.079366
347,New Zealand Dollar,NZ$,26728.36,fiat,2022-12-09 22:29:25.168268
348,Philippine Peso,₱,948017.186,fiat,2022-12-09 22:29:25.256595
349,Pakistani Rupee,₨,3847698.676,fiat,2022-12-09 22:29:25.343348
350,Polish Zloty,zł,76259.435,fiat,2022-12-09 22:29:25.431017
351,Russian Ruble,₽,1070727.311,fiat,2022-12-09 22:29:25.518181
352,Saudi Riyal,SR,64410.715,fiat,2022-12-09 22:29:25.604924
353,Swedish Krona,kr,177699.964,fiat,2022-12-09 22:29:25.692398
354,Singapore Dollar,S$,23226.637,fiat,2022-12-09 22:29:25.779732
355,Thai Baht,฿,593141.394,fiat,2022-12-09 22:29:25.867087
356,Turkish Lira,₺,319447.196,fiat,2022-12-09 22:29:25.954101
